AveragePrice,Year,City,Ttl_Small,Ttl_Large,Month,Season
1.33,2015,Albany,9640,54548,December,Winter
1.35,2015,Albany,10082,44736,December,Winter
0.93,2015,Albany,8836,109252,December,Winter
1.08,2015,Albany,6809,72110,December,Winter
1.28,2015,Albany,6927,44036,November,Fall
1.26,2015,Albany,7740,48195,November,Fall
0.99,2015,Albany,9565,73794,November,Fall
0.98,2015,Albany,6970,102377,November,Fall
1.02,2015,Albany,12126,87599,November,Fall
1.07,2015,Albany,8903,65321,October,Fall
1.12,2015,Albany,8802,75923,October,Fall
1.28,2015,Albany,11448,52935,October,Fall
1.31,2015,Albany,10648,50257,October,Fall
0.99,2015,Albany,7093,99554,September,Fall
1.33,2015,Albany,9517,60091,September,Fall
1.28,2015,Albany,9650,66318,September,Fall
1.11,2015,Albany,8642,90289,September,Fall
1.07,2015,Albany,10907,94450,August,Summer
1.34,2015,Albany,11478,68068,August,Summer
1.33,2015,Albany,10837,68811,August,Summer
1.12,2015,Albany,9700,101071,August,Summer
1.45,2015,Albany,12278,62113,August,Summer
1.11,2015,Albany,13710,92080,July,Summer
1.26,2015,Albany,12145,82233,July,Summer
1.05,2015,Albany,24962,94802,July,Summer
1.35,2015,Albany,30532,72836,July,Summer
1.37,2015,Albany,26975,57896,June,Summer
1.27,2015,Albany,22466,76902,June,Summer
1.32,2015,Albany,29193,56060,June,Summer
1.07,2015,Albany,22971,99681,June,Summer
1.23,2015,Albany,24144,70928,May,Spring
1.19,2015,Albany,29442,71970,May,Spring
1.43,2015,Albany,27435,82327,May,Spring
1.26,2015,Albany,17955,102286,May,Spring
1.2,2015,Albany,13121,45858,May,Spring
1.22,2015,Albany,12952,36543,April,Spring
1.19,2015,Albany,14377,34640,April,Spring
1.13,2015,Albany,17302,31040,April,Spring
1.16,2015,Albany,10830,36333,April,Spring
1.02,2015,Albany,8610,59098,March,Spring
1.12,2015,Albany,11394,34810,March,Spring
1.11,2015,Albany,12117,30828,March,Spring
1.36,2018,SouthCarolina,12139,5322,March,Spring
1.44,2018,SouthCarolina,10100,6296,March,Spring
1.41,2018,SouthCarolina,12300,4795,February,Winter
1.43,2018,SouthCarolina,10046,5319,February,Winter
1.47,2018,SouthCarolina,8825,5380,February,Winter
1.42,2018,SouthCarolina,11952,4610,February,Winter
1.46,2018,SouthCarolina,8554,6289,January,Winter
1.4,2018,SouthCarolina,11258,6234,January,Winter
1.31,2018,SouthCarolina,13220,5344,January,Winter
1.26,2018,SouthCarolina,14526,5024,January,Winter
1.59,2018,Spokane,905,4813,March,Spring
1.6,2018,Spokane,1080,4701,March,Spring
1.72,2018,Spokane,1350,3439,March,Spring
1.6,2018,Spokane,1217,4087,March,Spring
1.64,2018,Spokane,1016,3704,February,Winter
1.64,2018,Spokane,1573,3173,February,Winter
1.66,2018,Spokane,827,3272,February,Winter
1.7,2018,Spokane,871,3671,February,Winter
1.7,2018,Spokane,730,3569,January,Winter
1.76,2018,Spokane,972,3556,January,Winter
1.85,2018,Spokane,714,3697,January,Winter
1.74,2018,Spokane,812,2976,January,Winter
1.82,2018,StLouis,4854,3356,March,Spring
1.8,2018,StLouis,4260,2838,March,Spring
1.71,2018,StLouis,5149,2942,March,Spring
1.76,2018,StLouis,4037,2820,March,Spring
1.69,2018,StLouis,5095,2874,February,Winter
1.76,2018,StLouis,4223,2780,February,Winter
1.75,2018,StLouis,4467,3263,February,Winter
1.69,2018,StLouis,4025,2468,February,Winter
1.76,2018,StLouis,3759,2537,January,Winter
1.77,2018,StLouis,4428,2459,January,Winter
1.97,2018,StLouis,4059,4079,January,Winter
1.49,2018,StLouis,8380,2767,January,Winter
1.04,2018,Syracuse,10071,4432,March,Spring
1.19,2018,Syracuse,2945,4035,March,Spring
1.25,2018,Syracuse,944,3740,March,Spring
1.42,2018,Syracuse,1116,1945,March,Spring
1.3,2018,Syracuse,1800,2362,February,Winter
1.3,2018,Syracuse,2446,2646,February,Winter
1.23,2018,Syracuse,2042,2772,February,Winter
1.22,2018,Syracuse,2932,3361,February,Winter
1.19,2018,Syracuse,5701,692,January,Winter
1.27,2018,Syracuse,2209,949,January,Winter
1.25,2018,Syracuse,2102,2240,January,Winter
1.25,2018,Syracuse,3185,1579,January,Winter
1.41,2018,Tampa,8346,1681,March,Spring
1.5,2018,Tampa,7877,2433,March,Spring
1.31,2018,Tampa,7595,519,March,Spring
1.51,2018,Tampa,7551,2299,March,Spring
1.37,2018,Tampa,8102,1041,February,Winter
1.5,2018,Tampa,6583,1950,February,Winter
1.34,2018,Tampa,7540,926,February,Winter
1.32,2018,Tampa,6917,446,February,Winter
1.61,2018,Tampa,5723,1972,January,Winter
1.52,2018,Tampa,6452,418,January,Winter
1.53,2018,Tampa,6741,496,January,Winter
1.51,2018,Tampa,6963,407,January,Winter
1.62,2018,WestTexNewMexico,12895,2408,March,Spring
1.56,2018,WestTexNewMexico,14170,1726,March,Spring
1.56,2018,WestTexNewMexico,18672,3446,March,Spring
1.54,2018,WestTexNewMexico,15234,2159,March,Spring
1.57,2018,WestTexNewMexico,15672,2748,February,Winter
1.56,2018,WestTexNewMexico,15445,2151,February,Winter
1.57,2018,WestTexNewMexico,14361,1624,February,Winter
1.63,2018,WestTexNewMexico,15113,1961,February,Winter
1.71,2018,WestTexNewMexico,10131,3756,January,Winter
1.87,2018,WestTexNewMexico,10543,2495,January,Winter
1.93,2018,WestTexNewMexico,12447,3031,January,Winter
1.62,2018,WestTexNewMexico,14882,2382,January,Winter
